params,mean_test_score,rank_test_score
"{'bagging_temperature': np.float64(0.8252007674155681), 'depth': 8, 'iterations': 3529, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.041898339251941655), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.531744482842451,57
"{'bagging_temperature': np.float64(0.9148643902204485), 'depth': 6, 'iterations': 2768, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.1613504925344338), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 1}",-1.5323187187233027,58
"{'bagging_temperature': np.float64(0.7851759613930136), 'depth': 6, 'iterations': 2899, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.19020103466213772), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 1}",-1.5363591905499547,59
"{'bagging_temperature': np.float64(0.7158249646820886), 'depth': 10, 'iterations': 1939, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.017197148599803057), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 1}",-1.5375686786189546,60
"{'bagging_temperature': np.float64(0.1694927466860925), 'depth': 12, 'iterations': 2758, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.08045548243676962), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.5376007952195696,61
"{'bagging_temperature': np.float64(0.910471278403273), 'depth': 10, 'iterations': 3128, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.1087010328970878), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 1}",-1.5399478459872,62
"{'bagging_temperature': np.float64(0.8996674452921731), 'depth': 9, 'iterations': 2888, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.03722373803190408), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 1}",-1.5409355734997454,63
"{'bagging_temperature': np.float64(0.6078943937942587), 'depth': 12, 'iterations': 2332, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.01851251814488898), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 2}",-1.542321598282353,64
"{'bagging_temperature': np.float64(0.258688330697908), 'depth': 5, 'iterations': 2247, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.18903953874244048), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 5}",-1.542803546555478,65
"{'bagging_temperature': np.float64(0.6497736826427634), 'depth': 13, 'iterations': 3569, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.0670310295389441), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 5}",-1.5429984870656177,66
"{'bagging_temperature': np.float64(0.34265348812091534), 'depth': 9, 'iterations': 3198, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.08256781836820565), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 5}",-1.5431596613089986,67
"{'bagging_temperature': np.float64(0.05197128365147241), 'depth': 12, 'iterations': 1715, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.17081710936505562), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.5456080358817508,68
"{'bagging_temperature': np.float64(0.3796924081672669), 'depth': 10, 'iterations': 1395, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.06486888765226345), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.5457036849935797,69
"{'bagging_temperature': np.float64(0.25024289816459533), 'depth': 9, 'iterations': 1559, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.07226642821926597), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 10}",-1.546042045537591,70
"{'bagging_temperature': np.float64(0.9581707930039304), 'depth': 6, 'iterations': 2799, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.0971691498058427), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 10}",-1.5463102363099488,71
"{'bagging_temperature': np.float64(0.6798447799002458), 'depth': 10, 'iterations': 3264, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.013619690752125173), 'loss_function': 'RMSE', 'one_hot_max_size': 2, 'random_strength': 2}",-1.5472798963055343,72
"{'bagging_temperature': np.float64(0.3784764234858691), 'depth': 9, 'iterations': 2232, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.08924794607292683), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 10}",-1.548133394150356,73
"{'bagging_temperature': np.float64(0.5804750067166746), 'depth': 13, 'iterations': 3500, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.016664677411232842), 'loss_function': 'MAE', 'one_hot_max_size': 10, 'random_strength': 2}",-1.5484642783348683,74
"{'bagging_temperature': np.float64(0.5502265421562618), 'depth': 11, 'iterations': 2708, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.013999461183854133), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 2}",-1.5498719461760817,75
"{'bagging_temperature': np.float64(0.2785903390319586), 'depth': 9, 'iterations': 2428, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.014353271070578733), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.5529341986371563,76
"{'bagging_temperature': np.float64(0.7499107494699718), 'depth': 6, 'iterations': 2460, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.1001095924706159), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 2}",-1.5530495682794565,77
"{'bagging_temperature': np.float64(0.08413996499504883), 'depth': 11, 'iterations': 2443, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.07419485426720915), 'loss_function': 'MAE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.5541723700786505,78
"{'bagging_temperature': np.float64(0.3975943979627943), 'depth': 12, 'iterations': 2410, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.034084413114539726), 'loss_function': 'MAE', 'one_hot_max_size': 20, 'random_strength': 2}",-1.5545576566085917,79
"{'bagging_temperature': np.float64(0.5230978441701488), 'depth': 12, 'iterations': 2549, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.06553478609148415), 'loss_function': 'MAE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.5550626705996529,80
"{'bagging_temperature': np.float64(0.4110284698067047), 'depth': 13, 'iterations': 3631, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.028827820923123807), 'loss_function': 'MAE', 'one_hot_max_size': 20, 'random_strength': 1}",-1.5553704323950654,81
"{'bagging_temperature': np.float64(0.786345014415552), 'depth': 14, 'iterations': 1709, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.13923848456004145), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 5}",-1.5556089986197663,82
"{'bagging_temperature': np.float64(0.887460482513503), 'depth': 11, 'iterations': 3143, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.08703440070256951), 'loss_function': 'MAE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.5556463958617917,83
"{'bagging_temperature': np.float64(0.36275789466594544), 'depth': 8, 'iterations': 3987, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.17138239271776995), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 10}",-1.5565142075786187,84
"{'bagging_temperature': np.float64(0.19455832318530097), 'depth': 7, 'iterations': 1372, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.07444148721324567), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.5571093336733832,85
"{'bagging_temperature': np.float64(0.6077367948788591), 'depth': 13, 'iterations': 1225, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.019357941435406766), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 5}",-1.5574717889456149,86
"{'bagging_temperature': np.float64(0.5326025194007621), 'depth': 8, 'iterations': 2711, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.19495714260995103), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 1}",-1.560036624810531,87
"{'bagging_temperature': np.float64(0.7371007058430192), 'depth': 14, 'iterations': 2035, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.17239070629907652), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 10}",-1.5600541508260195,88
"{'bagging_temperature': np.float64(0.727169069766308), 'depth': 11, 'iterations': 1403, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.02818848932689514), 'loss_function': 'MAE', 'one_hot_max_size': 50, 'random_strength': 10}",-1.5628750432411214,89
"{'bagging_temperature': np.float64(0.20584121003676825), 'depth': 7, 'iterations': 3381, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.014454021969381042), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 2}",-1.563546818442906,90
"{'bagging_temperature': np.float64(0.10687692309474384), 'depth': 13, 'iterations': 1444, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.15632322892373923), 'loss_function': 'MAE', 'one_hot_max_size': 20, 'random_strength': 2}",-1.5646473137184742,91
"{'bagging_temperature': np.float64(0.013001923510736035), 'depth': 10, 'iterations': 3198, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.010827275638342147), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.5655651564220192,92
"{'bagging_temperature': np.float64(0.3109823217156622), 'depth': 11, 'iterations': 1804, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.05878901154246817), 'loss_function': 'MAE', 'one_hot_max_size': 20, 'random_strength': 5}",-1.5663284422627266,93
