,params
78,"{'bagging_temperature': np.float64(0.37798759012225447), 'depth': 10, 'iterations': 1090, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.15107557007532232), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 5}"
71,"{'bagging_temperature': np.float64(0.09128667678613356), 'depth': 10, 'iterations': 2819, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.055726259513563844), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 1}"
65,"{'bagging_temperature': np.float64(0.38539662096556504), 'depth': 13, 'iterations': 2625, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.021835915295039695), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 2}"
73,"{'bagging_temperature': np.float64(0.7896181427945539), 'depth': 8, 'iterations': 2065, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.011881893990078152), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 1}"
77,"{'bagging_temperature': np.float64(0.23668519368207874), 'depth': 10, 'iterations': 1216, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.028552519971882382), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 1}"
61,"{'bagging_temperature': np.float64(0.07056874740042984), 'depth': 10, 'iterations': 3305, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.1343543786419555), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 10}"
62,"{'bagging_temperature': np.float64(0.6771683423829817), 'depth': 6, 'iterations': 3427, 'l2_leaf_reg': 1, 'learning_rate': np.float64(0.03946396852973966), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 1}"
46,"{'bagging_temperature': np.float64(0.7407686177542044), 'depth': 4, 'iterations': 1245, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.024097489287059695), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 5}"
48,"{'bagging_temperature': np.float64(0.07094091699992766), 'depth': 6, 'iterations': 3518, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.013251752704998034), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 2}"
277,"{'bagging_temperature': np.float64(0.1918673247187429), 'depth': 11, 'iterations': 2376, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.027988684267762916), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 1}"
268,"{'bagging_temperature': np.float64(0.8191888594267902), 'depth': 9, 'iterations': 2243, 'l2_leaf_reg': 9, 'learning_rate': np.float64(0.10781633337266665), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 10}"
265,"{'bagging_temperature': np.float64(0.12188609333694755), 'depth': 14, 'iterations': 2286, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.109784036598349), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 5}"
114,"{'bagging_temperature': np.float64(0.3374468338719181), 'depth': 7, 'iterations': 2305, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.020792695080382693), 'loss_function': 'Huber', 'one_hot_max_size': 2, 'random_strength': 2}"
39,"{'bagging_temperature': np.float64(0.50881407683876), 'depth': 9, 'iterations': 2045, 'l2_leaf_reg': 6, 'learning_rate': np.float64(0.1877452556617082), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 10}"
29,"{'bagging_temperature': np.float64(0.32595890520188475), 'depth': 7, 'iterations': 3450, 'l2_leaf_reg': 10, 'learning_rate': np.float64(0.04637121010589463), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 10}"
26,"{'bagging_temperature': np.float64(0.489452760277563), 'depth': 9, 'iterations': 2439, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.07489770465258357), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 5}"
6,"{'bagging_temperature': np.float64(0.8083973481164611), 'depth': 12, 'iterations': 3612, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.07766184280392888), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 5}"
3,"{'bagging_temperature': np.float64(0.43194501864211576), 'depth': 4, 'iterations': 1474, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.03313073862781126), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 2}"
0,"{'bagging_temperature': np.float64(0.3745401188473625), 'depth': 14, 'iterations': 2095, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.015958237752949748), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 5}"
