params,mean_test_score,rank_test_score
"{'alpha': np.float64(0.8335042921805266), 'colsample_bytree': np.float64(0.8297892452719647), 'learning_rate': np.float64(0.06226077095552742), 'max_depth': 12, 'min_child_samples': 30, 'n_estimators': 922, 'num_leaves': 23, 'objective': 'tweedie', 'reg_alpha': np.float64(0.1636559428657045), 'reg_lambda': np.float64(0.16426579793099294), 'subsample': np.float64(0.9258298880925528), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.6321577765569604)}",-1.537313395828086,34
"{'alpha': np.float64(0.6243067962388189), 'colsample_bytree': np.float64(0.9926613295409792), 'learning_rate': np.float64(0.02426374428880052), 'max_depth': 8, 'min_child_samples': 114, 'n_estimators': 2044, 'num_leaves': 74, 'objective': 'regression', 'reg_alpha': np.float64(0.9473952495864468), 'reg_lambda': np.float64(0.3373401410170235), 'subsample': np.float64(0.889992467969621), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.5310504072316953)}",-1.5377196936911413,35
"{'alpha': np.float64(0.6794694056501576), 'colsample_bytree': np.float64(0.7734082950322968), 'learning_rate': np.float64(0.04645065056965126), 'max_depth': 14, 'min_child_samples': 136, 'n_estimators': 1903, 'num_leaves': 32, 'objective': 'regression', 'reg_alpha': np.float64(0.6884999007653664), 'reg_lambda': np.float64(0.05819359550844361), 'subsample': np.float64(0.9660854910505922), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.4538817837848836)}",-1.5405758643370178,36
"{'alpha': np.float64(0.599544248818821), 'colsample_bytree': np.float64(0.9950672031986588), 'learning_rate': np.float64(0.08457062165007272), 'max_depth': 14, 'min_child_samples': 35, 'n_estimators': 760, 'num_leaves': 35, 'objective': 'poisson', 'reg_alpha': np.float64(0.4732101180813334), 'reg_lambda': np.float64(0.31285485650558753), 'subsample': np.float64(0.6482090315145858), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.6848189371666256)}",-1.5411595175748682,37
"{'alpha': np.float64(0.9028430769592397), 'colsample_bytree': np.float64(0.8046709768462664), 'learning_rate': np.float64(0.02461872798345246), 'max_depth': 6, 'min_child_samples': 57, 'n_estimators': 2836, 'num_leaves': 124, 'objective': 'regression', 'reg_alpha': np.float64(0.7374052060938191), 'reg_lambda': np.float64(0.18228387847595806), 'subsample': np.float64(0.8255860368075345), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.7725679887023449)}",-1.5432005417331889,38
"{'alpha': np.float64(0.6556642013757624), 'colsample_bytree': np.float64(0.7260758084389436), 'learning_rate': np.float64(0.05048705735070674), 'max_depth': 10, 'min_child_samples': 146, 'n_estimators': 1472, 'num_leaves': 129, 'objective': 'regression', 'reg_alpha': np.float64(0.49448113129509297), 'reg_lambda': np.float64(0.9795508403817569), 'subsample': np.float64(0.6579860289519268), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.680124582040892)}",-1.54412869604469,39
"{'alpha': np.float64(0.8808103814085722), 'colsample_bytree': np.float64(0.851505927282378), 'learning_rate': np.float64(0.045256691357379364), 'max_depth': 8, 'min_child_samples': 171, 'n_estimators': 1762, 'num_leaves': 105, 'objective': 'regression', 'reg_alpha': np.float64(0.43861541918959046), 'reg_lambda': np.float64(0.7252576604151365), 'subsample': np.float64(0.7946675765698812), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.7987385904653286)}",-1.5441782115506455,40
"{'alpha': np.float64(0.9249132187063254), 'colsample_bytree': np.float64(0.9468795734220015), 'learning_rate': np.float64(0.033647296405759204), 'max_depth': 8, 'min_child_samples': 171, 'n_estimators': 1981, 'num_leaves': 133, 'objective': 'regression', 'reg_alpha': np.float64(0.45825289049151663), 'reg_lambda': np.float64(0.5456167893159349), 'subsample': np.float64(0.97658592351061), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.4088821102406195)}",-1.5449421263624592,41
"{'alpha': np.float64(0.7305281407595683), 'colsample_bytree': np.float64(0.6457143079991917), 'learning_rate': np.float64(0.04943095604263432), 'max_depth': 7, 'min_child_samples': 26, 'n_estimators': 1387, 'num_leaves': 58, 'objective': 'poisson', 'reg_alpha': np.float64(0.7764893026510181), 'reg_lambda': np.float64(0.6113366022166469), 'subsample': np.float64(0.9429235609443364), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.6385971514836255)}",-1.5451573318654688,42
"{'alpha': np.float64(0.7704833750601048), 'colsample_bytree': np.float64(0.8822343450575298), 'learning_rate': np.float64(0.0393192823508282), 'max_depth': 11, 'min_child_samples': 53, 'n_estimators': 2537, 'num_leaves': 16, 'objective': 'tweedie', 'reg_alpha': np.float64(0.04477845050466822), 'reg_lambda': np.float64(0.7619068201324154), 'subsample': np.float64(0.9786577735974185), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.3718150617208944)}",-1.5463981678964038,43
"{'alpha': np.float64(0.7128371057429796), 'colsample_bytree': np.float64(0.849007878291898), 'learning_rate': np.float64(0.020423056097788987), 'max_depth': 8, 'min_child_samples': 75, 'n_estimators': 1762, 'num_leaves': 58, 'objective': 'regression', 'reg_alpha': np.float64(0.21906880910185778), 'reg_lambda': np.float64(0.03672136250082114), 'subsample': np.float64(0.6432103016522766), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.3710885194710014)}",-1.5470580166615122,44
"{'alpha': np.float64(0.5588196695330898), 'colsample_bytree': np.float64(0.9546416860961867), 'learning_rate': np.float64(0.019237707802525202), 'max_depth': 7, 'min_child_samples': 26, 'n_estimators': 2252, 'num_leaves': 101, 'objective': 'poisson', 'reg_alpha': np.float64(0.3870787603356308), 'reg_lambda': np.float64(0.963822275482351), 'subsample': np.float64(0.6994321030859768), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.207042989023591)}",-1.5492626325055836,45
"{'alpha': np.float64(0.91892691297814), 'colsample_bytree': np.float64(0.8758107004126244), 'learning_rate': np.float64(0.037943222426242464), 'max_depth': 7, 'min_child_samples': 50, 'n_estimators': 2049, 'num_leaves': 62, 'objective': 'poisson', 'reg_alpha': np.float64(0.5771852367117482), 'reg_lambda': np.float64(0.3485736672419705), 'subsample': np.float64(0.663714978097122), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.5839631381524328)}",-1.5525485726411603,46
"{'alpha': np.float64(0.8509304278180146), 'colsample_bytree': np.float64(0.6427922555307833), 'learning_rate': np.float64(0.04887537842734472), 'max_depth': 14, 'min_child_samples': 82, 'n_estimators': 1485, 'num_leaves': 69, 'objective': 'poisson', 'reg_alpha': np.float64(0.10250972799067926), 'reg_lambda': np.float64(0.9372284872364511), 'subsample': np.float64(0.8751542889203253), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.1542696472841376)}",-1.5526995233093233,47
"{'alpha': np.float64(0.7441404658395132), 'colsample_bytree': np.float64(0.9446969979673181), 'learning_rate': np.float64(0.02930550446479757), 'max_depth': 6, 'min_child_samples': 51, 'n_estimators': 1524, 'num_leaves': 88, 'objective': 'regression', 'reg_alpha': np.float64(0.43098522051329624), 'reg_lambda': np.float64(0.31886681832113883), 'subsample': np.float64(0.8328794986376455), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.3969379387501022)}",-1.5531916744837304,48
"{'alpha': np.float64(0.8441974676939576), 'colsample_bytree': np.float64(0.9251942954864374), 'learning_rate': np.float64(0.042980322224645456), 'max_depth': 9, 'min_child_samples': 170, 'n_estimators': 2716, 'num_leaves': 89, 'objective': 'poisson', 'reg_alpha': np.float64(0.8980305489499869), 'reg_lambda': np.float64(0.24348229657629927), 'subsample': np.float64(0.9708138179185226), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.1482139122316488)}",-1.5531992228756255,49
"{'alpha': np.float64(0.584335374843912), 'colsample_bytree': np.float64(0.9432708212628655), 'learning_rate': np.float64(0.05815622447857008), 'max_depth': 6, 'min_child_samples': 153, 'n_estimators': 2308, 'num_leaves': 69, 'objective': 'tweedie', 'reg_alpha': np.float64(0.988065566652774), 'reg_lambda': np.float64(0.9012960107746488), 'subsample': np.float64(0.8606671674825703), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.3512486359941858)}",-1.5533067476516436,50
"{'alpha': np.float64(0.9168353953310071), 'colsample_bytree': np.float64(0.8604308102007778), 'learning_rate': np.float64(0.07751040159334667), 'max_depth': 13, 'min_child_samples': 91, 'n_estimators': 829, 'num_leaves': 42, 'objective': 'poisson', 'reg_alpha': np.float64(0.7296061783380641), 'reg_lambda': np.float64(0.6375574713552131), 'subsample': np.float64(0.9548850970305306), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.4777719401295595)}",-1.553545742093638,51
"{'alpha': np.float64(0.7109455844590277), 'colsample_bytree': np.float64(0.7205061043040002), 'learning_rate': np.float64(0.030022789379708828), 'max_depth': 7, 'min_child_samples': 97, 'n_estimators': 2319, 'num_leaves': 50, 'objective': 'tweedie', 'reg_alpha': np.float64(0.06449127124916754), 'reg_lambda': np.float64(0.8772394571622004), 'subsample': np.float64(0.9509047051304718), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.3643264031006193)}",-1.5548878464913427,52
"{'alpha': np.float64(0.7093425255276732), 'colsample_bytree': np.float64(0.6240569370403141), 'learning_rate': np.float64(0.026948526784054197), 'max_depth': 8, 'min_child_samples': 96, 'n_estimators': 2384, 'num_leaves': 56, 'objective': 'regression', 'reg_alpha': np.float64(0.17047793817391754), 'reg_lambda': np.float64(0.4094778530052039), 'subsample': np.float64(0.7690756453584758), 'subsample_freq': 1, 'tweedie_variance_power': np.float64(1.7574451551208696)}",-1.555837432036853,53
