,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_loss_function,param_one_hot_max_size,param_random_strength,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
207,4.652607393264771,0.564112805700046,0.01944389343261719,0.007104785788395949,0.04574203381251285,5,1703,4,0.06958453581144379,RMSE,50,5,"{'bagging_temperature': np.float64(0.04574203381251285), 'depth': 5, 'iterations': 1703, 'l2_leaf_reg': 4, 'learning_rate': np.float64(0.06958453581144379), 'loss_function': 'RMSE', 'one_hot_max_size': 50, 'random_strength': 5}",-1.5290812391785418,-1.5667091084499893,-1.6065130995918884,-1.5978037833027166,-1.6444322975731698,-1.5889079056192612,0.038843414395739385,125
208,0.05312647819519043,0.0014939334694637606,0.0,0.0,0.06562614457401295,4,3926,3,0.021306958378245196,Huber,10,2,"{'bagging_temperature': np.float64(0.06562614457401295), 'depth': 4, 'iterations': 3926, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.021306958378245196), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 2}",,,,,,,,215
209,0.05230965614318848,0.0009428764672469791,0.0,0.0,0.2736266662816659,7,3000,3,0.03866055268196658,Huber,20,5,"{'bagging_temperature': np.float64(0.2736266662816659), 'depth': 7, 'iterations': 3000, 'l2_leaf_reg': 3, 'learning_rate': np.float64(0.03866055268196658), 'loss_function': 'Huber', 'one_hot_max_size': 20, 'random_strength': 5}",,,,,,,,215
210,199.59296588897706,11.849241480010855,0.059307003021240236,0.007754602307688967,0.8259207657998966,14,3931,2,0.10126645758509366,MAE,20,5,"{'bagging_temperature': np.float64(0.8259207657998966), 'depth': 14, 'iterations': 3931, 'l2_leaf_reg': 2, 'learning_rate': np.float64(0.10126645758509366), 'loss_function': 'MAE', 'one_hot_max_size': 20, 'random_strength': 5}",-1.539482827532723,-1.5945070022722205,-1.5984239376915341,-1.5504301261297697,-1.6273478451142043,-1.5820383477480906,0.032517556580038694,117
211,41.17468161582947,1.6351305034782617,0.0467104434967041,0.0075068219243870525,0.8680543225322929,11,1988,5,0.1525171462309988,RMSE,20,10,"{'bagging_temperature': np.float64(0.8680543225322929), 'depth': 11, 'iterations': 1988, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.1525171462309988), 'loss_function': 'RMSE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.440414325745454,-1.4957876429579187,-1.5029745651243807,-1.5049691007167305,-1.526748467347445,-1.4941788203783857,0.02880203594308178,13
212,42.841755104064944,1.8957670141462513,0.02975945472717285,0.004453964915688249,0.3975943979627943,12,2410,11,0.034084413114539726,MAE,20,2,"{'bagging_temperature': np.float64(0.3975943979627943), 'depth': 12, 'iterations': 2410, 'l2_leaf_reg': 11, 'learning_rate': np.float64(0.034084413114539726), 'loss_function': 'MAE', 'one_hot_max_size': 20, 'random_strength': 2}",-1.5096719072489768,-1.5587835172104665,-1.5631768494202656,-1.5377573815468113,-1.6033986276164385,-1.5545576566085917,0.0309016781721196,79
213,0.05823273658752441,0.015975713868553704,0.0,0.0,0.2131047040250833,4,1792,8,0.030162256396297812,Huber,50,10,"{'bagging_temperature': np.float64(0.2131047040250833), 'depth': 4, 'iterations': 1792, 'l2_leaf_reg': 8, 'learning_rate': np.float64(0.030162256396297812), 'loss_function': 'Huber', 'one_hot_max_size': 50, 'random_strength': 10}",,,,,,,,215
214,0.05375018119812012,0.0013523531356790185,0.0,0.0,0.5432328057899581,12,2680,5,0.015845783457352276,Huber,10,2,"{'bagging_temperature': np.float64(0.5432328057899581), 'depth': 12, 'iterations': 2680, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.015845783457352276), 'loss_function': 'Huber', 'one_hot_max_size': 10, 'random_strength': 2}",,,,,,,,215
215,9.817208576202393,0.5608531801639023,0.018741035461425783,0.002172079867615655,0.7610239909429989,6,1348,5,0.15357694796732396,MAE,20,10,"{'bagging_temperature': np.float64(0.7610239909429989), 'depth': 6, 'iterations': 1348, 'l2_leaf_reg': 5, 'learning_rate': np.float64(0.15357694796732396), 'loss_function': 'MAE', 'one_hot_max_size': 20, 'random_strength': 10}",-1.6277905992818216,-1.6448333739521823,-1.6560708398693433,-1.6574074038108526,-1.757763942592094,-1.668773231901259,0.045744010265421124,175
216,104.22208733558655,6.096523600674946,0.03662571907043457,0.0012784570729794562,0.7965372909761763,12,3781,7,0.01455025051340813,RMSE,10,10,"{'bagging_temperature': np.float64(0.7965372909761763), 'depth': 12, 'iterations': 3781, 'l2_leaf_reg': 7, 'learning_rate': np.float64(0.01455025051340813), 'loss_function': 'RMSE', 'one_hot_max_size': 10, 'random_strength': 10}",-1.4694011718506692,-1.5146462519865627,-1.5254883758292737,-1.5163609474813367,-1.5490257149785285,-1.514984492425274,0.02588043488509399,36
