params,mean_test_score,rank_test_score
"{'colsample_bytree': np.float64(0.9274828228476931), 'learning_rate': np.float64(0.038904354725103986), 'max_depth': 8, 'min_child_weight': 51, 'n_estimators': 2835, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.7726227274493825), 'reg_lambda': np.float64(0.2648954472367334), 'subsample': np.float64(0.8581159350102867), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.5766005825511655)}",-1.4980437513706997,35
"{'colsample_bytree': np.float64(0.7173955292832487), 'learning_rate': np.float64(0.11892775683292794), 'max_depth': 11, 'min_child_weight': 97, 'n_estimators': 2072, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.6170665161178013), 'reg_lambda': np.float64(0.11383839347660141), 'subsample': np.float64(0.7380892571206769), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.5059295509742472)}",-1.4988839225849526,36
"{'colsample_bytree': np.float64(0.795141617570545), 'learning_rate': np.float64(0.007262124261562246), 'max_depth': 13, 'min_child_weight': 158, 'n_estimators': 2855, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.14923777795017612), 'reg_lambda': np.float64(0.1271997626874496), 'subsample': np.float64(0.9458641568561671), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.2947823747238938)}",-1.4989251596701645,37
"{'colsample_bytree': np.float64(0.9683367530469489), 'learning_rate': np.float64(0.09636346551968537), 'max_depth': 10, 'min_child_weight': 152, 'n_estimators': 1832, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.2055798083756375), 'reg_lambda': np.float64(0.7877898887144924), 'subsample': np.float64(0.8414886126920555), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.1914138400445502)}",-1.4989866335692317,38
"{'colsample_bytree': np.float64(0.8187853005485553), 'learning_rate': np.float64(0.08406800583357057), 'max_depth': 10, 'min_child_weight': 54, 'n_estimators': 1582, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.7101354317980658), 'reg_lambda': np.float64(0.9373784381643208), 'subsample': np.float64(0.8413167222859772), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.4787207051959301)}",-1.499102357505274,39
"{'colsample_bytree': np.float64(0.8547609269818972), 'learning_rate': np.float64(0.015925154641026805), 'max_depth': 13, 'min_child_weight': 58, 'n_estimators': 2329, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.5310853448852428), 'reg_lambda': np.float64(0.8417233617446761), 'subsample': np.float64(0.8320886075140117), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.547750755870352)}",-1.499224444683747,40
"{'colsample_bytree': np.float64(0.6634420421172295), 'learning_rate': np.float64(0.10002830862775194), 'max_depth': 12, 'min_child_weight': 147, 'n_estimators': 2910, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.7435082562916078), 'reg_lambda': np.float64(0.1607598960483082), 'subsample': np.float64(0.9271868096476249), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.7657073423661935)}",-1.5000288204276084,41
"{'colsample_bytree': np.float64(0.8285892100820043), 'learning_rate': np.float64(0.06215531094980466), 'max_depth': 10, 'min_child_weight': 70, 'n_estimators': 1394, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.7442116569432979), 'reg_lambda': np.float64(0.681039427096909), 'subsample': np.float64(0.6950025885169879), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.4201783142976199)}",-1.5000673030680258,42
"{'colsample_bytree': np.float64(0.7582180335519875), 'learning_rate': np.float64(0.13763214312659924), 'max_depth': 8, 'min_child_weight': 41, 'n_estimators': 2558, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.7570592676112233), 'reg_lambda': np.float64(0.952648638038717), 'subsample': np.float64(0.9631274611938561), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.6794282465011297)}",-1.5004426757785043,43
"{'colsample_bytree': np.float64(0.6932912289698111), 'learning_rate': np.float64(0.036110091725384125), 'max_depth': 15, 'min_child_weight': 74, 'n_estimators': 1865, 'objective': 'reg:squarederror', 'reg_alpha': np.float64(0.9472485773838587), 'reg_lambda': np.float64(0.9860010638228709), 'subsample': np.float64(0.9013512741035766), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.4010076684247328)}",-1.5005430578269596,44
"{'colsample_bytree': np.float64(0.9738455989358838), 'learning_rate': np.float64(0.0438301608816122), 'max_depth': 9, 'min_child_weight': 78, 'n_estimators': 2794, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.24773098950115746), 'reg_lambda': np.float64(0.3559726786512616), 'subsample': np.float64(0.9031384441857476), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.1115147909038048)}",-1.5011760725477743,45
"{'colsample_bytree': np.float64(0.7238110465145311), 'learning_rate': np.float64(0.07962398787544059), 'max_depth': 18, 'min_child_weight': 166, 'n_estimators': 2081, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.822537242923169), 'reg_lambda': np.float64(0.949799913291924), 'subsample': np.float64(0.890287803355344), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.5907321567486319)}",-1.5012881021247877,46
"{'colsample_bytree': np.float64(0.8110590920579144), 'learning_rate': np.float64(0.030791167839299673), 'max_depth': 19, 'min_child_weight': 123, 'n_estimators': 2201, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.1552402459307125), 'reg_lambda': np.float64(0.18192813049527112), 'subsample': np.float64(0.944714248405407), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.8568923697069062)}",-1.502127214067059,47
"{'colsample_bytree': np.float64(0.8233173814428391), 'learning_rate': np.float64(0.1006307957755562), 'max_depth': 11, 'min_child_weight': 108, 'n_estimators': 2182, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.8563242918780924), 'reg_lambda': np.float64(0.4045081271221901), 'subsample': np.float64(0.9551080395043839), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.7807427590140104)}",-1.5024962168028129,48
"{'colsample_bytree': np.float64(0.8987502864543291), 'learning_rate': np.float64(0.056995009550908915), 'max_depth': 13, 'min_child_weight': 30, 'n_estimators': 906, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.00756287497814212), 'reg_lambda': np.float64(0.647474714154603), 'subsample': np.float64(0.9592122195799948), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.2947858372610395)}",-1.5027375129850389,49
"{'colsample_bytree': np.float64(0.6724597398138721), 'learning_rate': np.float64(0.050706503368705656), 'max_depth': 12, 'min_child_weight': 48, 'n_estimators': 2706, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.2952782892203101), 'reg_lambda': np.float64(0.7934072581478373), 'subsample': np.float64(0.6740913786189638), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.834201991337102)}",-1.503149945525858,50
"{'colsample_bytree': np.float64(0.8004611996728039), 'learning_rate': np.float64(0.01930417377452878), 'max_depth': 8, 'min_child_weight': 91, 'n_estimators': 1952, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.6743038064090484), 'reg_lambda': np.float64(0.5324811925594262), 'subsample': np.float64(0.8885688269314926), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.2130224394204048)}",-1.5031710981502888,51
"{'colsample_bytree': np.float64(0.6369162344914984), 'learning_rate': np.float64(0.02568503089850696), 'max_depth': 17, 'min_child_weight': 65, 'n_estimators': 2897, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.9208724005318132), 'reg_lambda': np.float64(0.06107795985486375), 'subsample': np.float64(0.7107510592588815), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.744961023834449)}",-1.5035163732885757,52
"{'colsample_bytree': np.float64(0.9322477631150916), 'learning_rate': np.float64(0.13317777824905344), 'max_depth': 16, 'min_child_weight': 126, 'n_estimators': 875, 'objective': 'reg:tweedie', 'reg_alpha': np.float64(0.9383404568210378), 'reg_lambda': np.float64(0.18123306616566015), 'subsample': np.float64(0.6265985069467109), 'tree_method': 'hist', 'tweedie_variance_power': np.float64(1.6928965194320473)}",-1.5040524480036204,53
