,disk_ID,disk_capacity,disk_if_local,disk_attr,disk_type,disk_if_VIP,disk_pay,vm_cpu,vm_mem,avg_rbw,avg_wbw,peak_rbw,peak_wbw,timestamp_num,burst_label,RBW_mul,WBW_mul,cluster_index,pre_burst_label,belong_to_cluster
61,47a48d29-568d-4bff-83c7-ce640220c868,100,0,cbsPremium,0,1,prepay,32.0,128.0,56.07151037456211,48.30146860684452,179.0,710.0,59376,0,3.192352030545742,14.6993460132471,1,0,0
62,a9635074-62e2-4b61-b5e2-1c55d7add8b8,100,0,cbsPremium,0,1,prepay,16.0,32.0,212.7600619870788,109.51012746638727,335.0,817.0,91632,0,1.5745436284952063,7.460497206075918,1,0,0
63,550433b7-7488-448f-bab8-0e8ed93d6781,100,0,cbsPremium,0,1,prepay,32.0,128.0,125.63425431571454,120.89716809040756,852.0,2888.0,89904,0,6.781589978310799,23.88806988299625,1,0,0
64,9001f813-871f-48a0-a3cc-a80d339e54ef,100,0,cbsPremium,0,1,prepay,32.0,128.0,121.46902251290264,112.92776739633386,725.0,2853.0,89904,0,5.968599936028869,25.26393699068756,1,0,0
65,aa6cc389-ef73-4b16-82c4-eb148d67bae4,100,0,cbsPremium,0,1,prepay,64.0,256.0,53.20658547586829,47.127847316193055,301.0,728.0,35472,0,5.657194448918692,15.447342525867086,1,0,0
66,346607d7-ddd9-441e-900f-aa80d7a57632,100,0,cbsPremium,0,1,prepay,64.0,256.0,53.724173553719005,50.95624262101535,170.0,720.0,40656,0,3.1643111239303914,14.129770229625564,1,0,0
67,40542d22-d17e-4512-9afd-89e220bad0fa,100,0,cbsPremium,0,1,prepay,64.0,256.0,46.827520219526285,46.04090843443097,690.0,733.0,27696,1,14.734925034793571,15.920624178037231,1,0,0
68,92c4297b-9e87-4b51-926f-f000b41a08f5,100,0,cbsPremium,0,1,prepay,180.0,464.0,183.6870995728777,303.361474461648,1067.0,2715.0,89904,0,5.808791158884124,8.94971915869706,1,0,0
69,58ff8e57-c1da-4a4e-a993-f567bc01a691,3000,0,cbsPremium,1,1,prepay,16.0,32.0,56.62988422575977,1060.1193620356971,129.0,2928.0,33168,0,2.2779492093914717,2.761953139293202,1,0,2
70,596a9e91-feb6-4878-9fa8-28ed19ff27ad,3000,0,cbsPremium,1,1,prepay,16.0,32.0,71.753591954023,1297.526111944028,150.0,3268.0,32016,0,2.090487680339604,2.518639100914659,1,0,2
71,270ee1af-c589-4aba-bf19-bc03fb9d6ceb,100,0,cbsPremium,0,0,prepay,16.0,32.0,173.24552332037757,101.50992504164353,606.0,2072.0,86448,0,3.497925882213666,20.411797163183607,1,0,0
72,47c25f07-48a7-4ecf-8b1f-0ba7095b8db2,100,0,cbsPremium,0,1,prepay,8.0,16.0,40.00233287440722,38.626692290041305,97.0,530.0,104592,0,2.4248585777370715,13.72108168155636,1,0,0
73,e494cfce-89ae-4468-8bbd-89de874c00bc,100,0,cbsPremium,0,1,prepay,8.0,16.0,25.730467665834027,24.536931029697477,1593.0,3835.0,57648,1,61.91103949949775,156.29501486385698,1,0,0
74,88001336-1d4e-42f2-8b49-e73a51163143,100,0,cbsPremium,0,1,prepay,8.0,32.0,35.41268817204301,32.248548387096776,98.0,551.0,37200,0,2.767369693142,17.086040381912664,1,0,0
75,17364705-cb1f-4f84-a958-dc33c0bb88b7,100,0,cbsPremium,0,1,prepay,32.0,64.0,108.58879672006104,81.9570938215103,958.0,3235.0,104880,1,8.822272913380724,39.47187301498664,1,0,0
76,88f01978-c2d6-42f6-926b-66731debe487,100,0,cbsPremium,0,1,prepay,64.0,128.0,139.87749154653852,111.50686287595656,1000.0,2372.0,89904,0,7.149113048451336,21.27223328521654,1,0,0
77,00ecf019-626d-4dd6-94c0-2a18a45290f5,100,0,cbsPremium,0,1,prepay,8.0,32.0,38.60361295681063,38.58859357696567,91.0,487.0,101136,0,2.35729231100234,12.620309652609375,1,0,0
78,4f7759cc-670b-44cc-b2b0-3fd9898fa0c7,100,0,cbsPremium,0,1,prepay,8.0,32.0,38.100112719506406,42.8781838316722,93.0,410.0,101136,0,2.440937660333642,9.56197215837186,1,0,0
79,046a4682-d3d4-42cc-9eb4-31a8818fa5de,500,0,cbsPremium,1,1,prepay,16.0,32.0,357.179470709147,1137.6670092497432,908.0,4678.0,46704,0,2.5421393849911067,4.111923754460454,1,0,3
80,0bf9ba16-252b-4386-b4bb-8553dad11f10,500,0,cbsPremium,1,1,prepay,16.0,32.0,163.914793844367,929.6769889663184,1153.0,2810.0,68880,0,7.034142391654682,3.0225551813693485,1,0,3
81,13c06ebd-fda7-44ef-b68c-3fe29f5afcfd,500,0,cbsPremium,1,1,prepay,16.0,32.0,318.1315459528808,725.3451568696058,895.0,2729.0,68592,0,2.813301640110096,3.762346758855644,1,0,3
82,0035013b-7831-4683-bbfd-3915b362d03c,100,0,cbsPremium,0,1,prepay,8.0,16.0,39.78695652173913,36.69445080091533,101.0,557.0,104880,0,2.5385203802863074,15.179406908744518,1,0,0
83,3ac12128-a8d5-4082-b7f6-7e5f3fda22b7,100,0,cbsPremium,0,1,postpay,8.0,16.0,17.14699656750572,14.906645690312738,3837.0,5558.0,104880,1,223.77096682175096,372.8538341534429,1,0,0
84,4c994f09-691b-492f-bec6-fae403901f35,100,0,cbsPremium,0,1,prepay,32.0,128.0,79.05040815435656,73.20433909551248,213.0,3006.0,91632,1,2.694483241428543,41.06313966004061,1,0,0
85,932f1c49-670a-4322-b4eb-a9e82bdf84bb,300,0,cbsPremium,1,1,prepay,10.0,40.0,6.891163164039696,10.36930823117338,82.0,3544.0,27408,1,11.899297411488144,341.77786222475567,1,0,0
86,ff68f838-1e34-493b-86b5-4d4198f42a4c,100,0,cbsPremium,0,1,prepay,8.0,64.0,38.89450435979807,36.67083524552547,699.0,11085.0,104592,1,17.971690641274673,302.28381562027766,1,0,0
87,53db03e9-bccd-4148-9e71-9d08ed8bc329,100,0,cbsPremium,0,1,prepay,64.0,256.0,64.48600076883649,61.31825559542115,247.0,1184.0,93648,0,3.830288699177097,19.30909463263357,1,0,0
88,841ad02c-eb0a-49d0-ac16-705388779c03,100,0,cbsPremium,0,1,prepay,64.0,256.0,64.20782990574122,61.16726649528706,233.0,1196.0,93360,0,3.628840911490859,19.552941769796952,1,0,0
89,95c2c233-807f-4241-98b1-d694c3dc013c,100,0,cbsPremium,0,0,prepay,8.0,16.0,22.484228783478542,32.9172515327525,57.0,954.0,49584,0,2.535110301042823,28.98176353061478,1,0,0
90,77b77a30-1d39-429a-870b-056f0b28b254,100,0,cbsPremium,0,1,prepay,16.0,32.0,49.94521355429804,41.3612907572083,243.0,3065.0,59376,1,4.865331083945053,74.1031032612502,1,0,0
91,530e5893-8dda-4834-b166-cf2ffe9805b2,100,0,cbsPremium,0,1,prepay,16.0,32.0,69.12616144018583,52.28490127758421,375.0,786.0,68880,0,5.424863643332543,15.03302063873222,1,0,0
92,d575ee84-b55c-4967-92b0-e3e59d7f9783,100,0,cbsPremium,0,1,prepay,16.0,32.0,66.8366024317504,51.64812743748566,509.0,761.0,69744,0,7.615587589446378,14.734319282361325,1,0,0
93,a7e45b33-35da-4e6b-a0b1-4ed214726d73,100,0,cbsPremium,0,1,prepay,16.0,32.0,68.31799748686315,52.202850125656845,203.0,728.0,70032,0,2.971398569447748,13.945598722055214,1,0,0
94,44ba8d8c-44b3-42cf-8244-f552e29e02cf,100,0,cbsPremium,0,1,prepay,16.0,32.0,68.46138211382114,52.47052845528455,175.0,714.0,68880,0,2.556185612920464,13.607638821638163,1,0,0
