iter	Passed	Remaining
1557	28137	49701
1558	28157	49686
1559	28166	49652
1560	28195	49653
1561	28215	49639
1562	28234	49622
1563	28254	49608
1564	28263	49573
1565	28284	49561
1566	28303	49544
1567	28322	49528
1568	28332	49495
1569	28353	49482
1570	28380	49481
1571	28399	49464
1572	28419	49449
1573	28440	49436
1574	28461	49424
1575	28481	49409
1576	28486	49367
1577	28505	49352
1578	28528	49342
1579	28551	49332
1580	28573	49321
1581	28594	49307
1582	28615	49295
1583	28636	49282
1584	28656	49267
1585	28677	49254
1586	28697	49239
1587	28716	49223
1588	28725	49189
1589	28746	49176
1590	28766	49160
1591	28785	49144
1592	28804	49128
1593	28824	49113
1594	28845	49100
1595	28865	49085
1596	28885	49071
1597	28905	49056
1598	28925	49041
1599	28945	49025
1600	28965	49012
1601	28987	49000
1602	29006	48982
1603	29015	48950
1604	29036	48937
1605	29058	48924
1606	29078	48910
1607	29088	48878
1608	29109	48865
1609	29128	48849
1610	29147	48833
1611	29168	48819
1612	29186	48801
1613	29207	48787
1614	29226	48771
1615	29230	48729
1616	29249	48713
1617	29253	48671
1618	29274	48658
1619	29294	48643
1620	29316	48631
1621	29336	48616
1622	29356	48601
1623	29375	48586
1624	29397	48573
1625	29417	48558
1626	29436	48542
1627	29453	48522
1628	29474	48508
1629	29495	48495
1630	29514	48479
1631	29532	48461
1632	29553	48447
1633	29571	48429
1634	29591	48414
1635	29610	48397
1636	29613	48355
1637	29633	48340
1638	29653	48324
1639	29670	48305
1640	29674	48264
1641	29696	48251
1642	29716	48238
1643	29734	48219
1644	29751	48199
1645	29770	48182
1646	29789	48166
1647	29808	48149
1648	29828	48134
1649	29848	48120
1650	29870	48107
1651	29892	48095
1652	29914	48083
1653	29933	48068
1654	29957	48058
1655	29980	48047
1656	30001	48034
1657	30022	48021
1658	30046	48012
1659	30068	48001
1660	30077	47968
1661	30098	47954
1662	30117	47937
1663	30138	47924
1664	30158	47908
1665	30178	47894
1666	30197	47877
