,disk_capacity,vm_cpu,vm_memory,recent_history_bandwidth_memory,disk_if_VIP,ins_type,disk_type,volume_type,business_type
4219,1200,4.0,8.0,,1,CVM,data,cbsPremium,infra-node
8042,200,8.0,64.0,,1,CVM,data,cbsPremium,game-service
23122,100,16.0,32.0,9859.12003968254,1,CVM,root,cbsssd,compute-simulation
8239,50,16.0,32.0,7123.5421626984125,1,CVM,root,cbsBSSD,infra-node
11321,300,24.0,48.0,1486.719246031746,1,CVM,data,cbsPremium,infra-message-queue
22092,60,4.0,8.0,,1,CVM,root,cbsBSSD,data-collection-delivery
15392,200,8.0,16.0,,1,CVM,root,cbsPremium,ecommerce-retail
21991,100,2.0,4.0,21270.23263888889,1,CVM,root,cbsPremium,generic-unknown
3739,10,16.0,64.0,,1,CVM,data,cbsPremium,ai-machine-learning
14563,50,16.0,32.0,,1,CVM,root,cbsPremium,infra-logging-monitoring
13658,50,4.0,8.0,,1,CVM,root,cbsPremium,generic-unknown
10500,100,8.0,16.0,4420.278273809524,1,CVM,root,cbsPremium,data-collection-delivery
6448,80,16.0,128.0,542.1111111111111,1,CVM,data,cbsPremium,infra-node
19138,50,4.0,16.0,,1,CVM,root,cbsPremium,dev-test-env
8344,200,8.0,16.0,8011.636904761905,1,CVM,data,cbsPremium,infra-node
6049,50,16.0,32.0,11631.159722222224,1,CVM,root,cbsPremium,generic-autoscaling
15081,10,32.0,128.0,328.54761904761904,1,CVM,data,cbsPremium,infra-node
23396,20,4.0,16.0,30531.663194444445,0,CVM,data,cbsHSSD,infra-database
12409,300,2.0,8.0,6325.078373015873,1,CVM,root,cbsPremium,infra-coordination
23394,500,32.0,128.0,,1,CVM,root,cbsPremium,office-system
380,50,16.0,64.0,170365.24851190476,1,CVM,data,cbsssd,infra-logging-monitoring
980,100,2.0,8.0,7289.605158730159,1,CVM,data,cbsPremium,dev-test-env
10663,200,84.0,320.0,7006.425595238095,1,CVM,data,cbsPremium,infra-node
17372,50,16.0,128.0,8687.327380952382,1,CVM,root,cbsPremium,ai-machine-learning
1880,10,32.0,64.0,290435.14087301586,1,CVM,data,cbsPremium,infra-node
24140,1000,4.0,4.0,1586.59126984127,0,CVM,data,cbsPremium,generic-unknown
10429,90,2.0,8.0,67138.7941468254,0,CVM,data,cbsPremium,infra-message-queue
2772,500,16.0,32.0,,0,CVM,data,cbsPremium,compute-simulation
22023,150,8.0,16.0,16495.43998015873,0,CVM,data,cbsPremium,infra-node
6699,50,8.0,16.0,7349.223214285715,1,CVM,root,cbsPremium,office-system
12717,1000,64.0,256.0,22816.228174603173,1,CVM,data,cbsPremium,infra-node
17112,50,16.0,64.0,8543.522817460318,1,CVM,root,cbsssd,infra-database
3860,500,32.0,128.0,,1,CVM,data,cbsPremium,infra-node
6874,60,2.0,4.0,327.1860119047619,0,CVM,data,cbsPremium,generic-unknown
16758,50,8.0,32.0,11899.989087301588,1,CVM,root,cbsssd,ai-machine-learning
451,50,4.0,16.0,1627.266369047619,0,CVM,data,cbsHSSD,infra-database
3070,100,4.0,32.0,,1,CVM,data,cbsPremium,infra-node
8790,100,16.0,64.0,,0,CVM,root,cbsPremium,infra-database
8116,100,32.0,256.0,7101.982638888889,1,CVM,root,cbsBSSD,ai-machine-learning
369,200,8.0,16.0,,1,CVM,data,cbsPremium,media-video-streaming
7781,50,4.0,8.0,,1,CVM,root,cbsPremium,finance-payment
15421,50,16.0,32.0,12319.626984126984,1,CVM,root,cbsPremium,infra-node
5198,300,2.0,4.0,,1,CVM,root,cbsBSSD,infra-message-queue
4591,200,4.0,8.0,,0,CVM,root,cbsPremium,infra-node
16265,30,32.0,128.0,328.67311507936506,1,CVM,data,cbsPremium,infra-node
1318,100,4.0,8.0,,0,CVM,data,cbsPremium,generic-unknown
17230,50,48.0,96.0,27050.757936507936,1,CVM,root,cbsPremium,infra-node
9165,50,2.0,4.0,7924.079365079365,1,CVM,root,cbsPremium,data-collection-delivery
18764,840,16.0,32.0,1430486.4399801588,0,CVM,data,cbsPremium,infra-message-queue
12313,50,4.0,8.0,121.95238095238096,1,CVM,data,cbsPremium,generic-unknown
1412,500,32.0,64.0,,0,CVM,data,cbsPremium,infra-database
14319,100,8.0,16.0,11024.11507936508,0,CVM,root,cbsPremium,media-video-streaming
12753,50,32.0,128.0,382.2688492063492,1,CVM,root,cbsssd,infra-node
16026,150,32.0,128.0,1059.2227182539682,1,CVM,data,cbsPremium,infra-node
21506,500,8.0,16.0,,1,CVM,data,cbsPremium,media-video-streaming
21127,50,16.0,32.0,836486.8571428572,1,CVM,root,cbsPremium,generic-unknown
17419,50,16.0,32.0,11656.63244047619,1,CVM,root,cbsPremium,infra-node
